season (enter as Sxx e.g. S26),S42,,,,,,,,,,,,,,,,
round (enter as Rxx e.g. R01),R01,,,,,,,,,,,,,,,,
home_team,Harbour City Hawks,,,,,,,,,,,,,,,,
away_team,Riverland Rangers,,,,,,,,,,,,,,,,
match_id,1234OKEY,,,,,,,,,,,,,,,,
home_pos,home_player,h_str,h_spd,h_agi,h_skl,h_end,h_prs,h_aur,away_pos,away_player,a_str,a_spd,a_agi,a_skl,a_end,a_prs,a_aur
h_rBP,Jack Thompson,30,10,20,2,3,20,15,a_rBP,Callum Fraser,15,15,15,15,15,15,10
h_FB,Liam Carter,2,2,2,2,2,2,88,a_FB,Aiden McKenzie,15,15,15,15,15,15,10
h_lBP,Noah Williams,40,1,2,5,1,50,1,a_lBP,Finn O'Connor,15,15,15,15,15,15,10
h_rHBF,Ethan Murphy,5,60,10,10,13,1,1,a_rHBF,Harrison Kelly,15,15,15,15,15,15,10
h_CHB,Oliver Bennett,10,10,15,34,10,10,11,a_CHB,Oscar Collins,15,15,15,15,15,15,10
h_lHBF,Mason Clarke,2,90,2,2,2,2,0,a_lHBF,Leo Anderson,15,15,15,15,15,15,10
h_rW,Lucas Harris,30,5,30,0,35,0,0,a_rW,George Parker,15,15,15,15,15,15,10
h_C,Henry Walsh,10,20,20,20,23,2,5,a_C,Isaac Roberts,15,15,15,15,15,15,10
h_lW,Charlie Cooper,0,50,50,0,0,0,0,a_lW,Archie Campbell,15,15,15,15,15,15,10
h_rHFF,Thomas Reid,0,0,0,100,0,0,0,a_rHFF,Nathan Bailey,15,15,15,15,15,15,10
h_CHF,William Foster,0,0,0,0,0,0,100,a_CHF,Connor Hughes,15,15,15,15,15,15,10
h_lHFF,James Sullivan,90,1,1,1,1,1,5,a_lHFF,Dylan Morris,15,15,15,15,15,15,10
h_rFP,Alexander Price,3,5,5,60,13,3,11,a_rFP,Blake Richardson,15,15,15,15,15,15,10
h_FF,Daniel Brooks,15,5,20,0,25,25,10,a_FF,Jordan Taylor,15,15,15,15,15,15,10
h_lFP,Samuel Turner,30,0,0,15,15,30,10,a_lFP,Mitchell Ward,15,15,15,15,15,15,10
h_RUCK,Benjamin Scott,50,3,15,9,3,3,17,a_RUCK,Cameron Lewis,15,15,15,15,15,15,10
h_RR,Maxwell Evans,25,25,25,25,0,0,0,a_RR,Bailey Wright,15,15,15,15,15,15,10
h_R,Joshua King,0,30,15,15,15,15,10,a_R,Cooper Young,15,15,15,15,15,15,10
h_INT1,Patrick Doyle,12,15,18,15,40,0,0,a_INT1,Riley Stewart,15,15,15,15,15,15,10
h_INT2,Ryan Mitchell,15,15,15,25,15,15,0,a_INT2,Toby Martin,15,15,15,15,15,15,10
